2,34,3,1,1
2,43,3,0,0
2,82,2,0,0
1,112,2,0,1
2,87,3,1,1
2,113,3,0,1
2,50,1,0,1
1,19,3,0,1
1,82,2,0,0
1,66,2,0,0
1,29,2,1,1
2,32,3,0,1
2,56,3,1,0
1,63,2,0,0
2,86,2,1,0
1,17,2,1,1
1,107,2,0,0
2,78,3,1,0
1,33,2,1,0
2,61,2,1,1
2,10,2,1,1
2,36,2,1,1
2,53,3,0,0
2,9,2,0,1
1,30,3,1,1
1,94,1,1,1
2,101,2,0,0
2,103,2,1,0
1,53,3,1,1
1,12,3,0,1
2,8,1,1,1
2,41,1,1,1
1,123,3,0,1
1,107,3,1,0
2,79,3,1,0
1,103,3,1,1
2,22,2,1,0
2,84,3,1,1
1,123,2,0,1
1,55,1,1,0
2,10,1,0,0
2,65,2,1,0
2,33,3,1,0
1,112,2,0,1
2,56,3,0,1
1,12,2,1,1
1,12,1,1,0
2,62,2,1,1
2,26,1,0,1
1,88,3,0,0
2,68,2,0,0
1,72,2,0,1
2,40,3,0,1
1,102,3,1,1
1,75,1,1,1
1,31,2,1,0
1,118,2,1,0
1,7,1,0,1
1,17,1,0,1
1,78,3,1,1
1,17,1,1,0
2,19,2,1,1
1,45,2,0,0
1,0,1,1,0
1,59,1,1,1
1,97,1,0,0
2,54,1,1,0
1,85,1,0,0
1,46,3,0,0
2,102,1,0,1
1,14,3,1,1
1,5,2,1,1
1,90,1,1,0
1,111,1,1,1
2,100,2,0,0
2,27,2,1,1
2,85,3,1,0
1,25,3,0,1
2,6,2,1,1
2,23,3,0,1
1,93,2,0,1
2,91,2,1,1
2,88,3,0,1
2,76,1,1,0
1,4,1,1,0
1,103,2,1,1
1,55,2,1,1
1,102,2,1,1
1,76,3,0,1
2,67,3,0,0
1,110,3,0,1
2,118,2,0,1
1,91,3,1,0
1,117,2,1,0
1,81,3,0,0
1,81,3,1,1
1,87,1,1,0
1,110,1,1,0
1,87,2,1,0
1,101,2,1,1
